,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
66,67,PO-10-035,78.8,84.1,205562.54,8400494.8,5263.43899999999,5.3,0.269,0.004,5.6,0.245,0.183,0.548,6.84,70.0,7.37,7.284,2.4,2.0,0.23,1.4,0.01,0.038,0.04,0.18,Hipógeno,4,Endoskarn,68.6,9.71,3,Skarn,HY-MV008,0.0
67,68,PO-10-040,56.8,60.1,205588.41,8400586.7,5291.26099999999,3.3,0.711,0.187,14.6,0.245,0.131,0.235,6.7,120.0,6.98,4.786,2.23,1.0,0.86,1.14,0.01,0.091,0.01,0.14,Hipógeno,2,Diorite,106.55,17.23,3,Skarn,HY-MV009,0.0
68,69,PO-10-042,48.0,51.0,205614.28,8400678.6,5319.08299999999,3.0,0.849,0.084,13.1,0.3,0.028,0.045,2.51,60.0,11.85,21.2,0.75,2.0,0.07,4.86,0.027,0.086,0.03,0.13,Hipógeno,5,Skarn,106.41,17.31,3,Skarn,HY-MV010,0.0
69,70,PO-11-084,108.0,114.0,205640.15,8400770.5,5346.90499999999,6.0,0.133,0.092,2.0,0.046,0.023,0.051,8.06,110.0,8.77,3.42,2.34,1.0,0.4,0.36,0.005,0.015,0.04,0.15,Hipógeno,4,Endoskarn,52.52,12.84,3,Skarn,HY-MV011,1.0
70,71,PO-12-117,18.0,21.0,205666.02,8400862.4,5374.72699999999,3.0,0.417,0.06,3.5,0.114,0.006,0.018,7.13,70.0,13.39,10.27,0.69,2.0,0.29,1.32,0.011,0.017,0.03,0.07,Hipógeno,5,Skarn,98.25,17.19,3,Skarn,HY-MV012,0.0
71,72,PO-11-077,59.5,63.0,205691.89,8400954.3,5402.54899999999,3.5,0.147,0.021,2.4,0.081,0.041,0.079,8.7,50.0,6.03,4.747,1.75,1.0,1.97,0.38,0.005,0.019,0.03,0.16,Hipógeno,2,Diorite,177.07,19.08,3,Skarn,HY-MV013,0.0
72,73,PO-11-078,52.8,58.1,205717.76,8401046.2,5430.37099999999,5.3,0.713,0.002,6.7,0.166,0.018,0.088,2.38,170.0,7.66,20.63,1.04,4.0,0.04,1.0,0.013,0.053,0.02,0.09,Hipógeno,5,Skarn,44.88,13.41,3,Skarn,HY-MV014,0.0
73,74,PO-11-080,38.0,42.0,205743.63,8401138.1,5458.19299999999,4.0,1.029,0.003,22.3,0.259,0.076,0.185,2.44,690.0000000000001,14.15,14.37,1.03,2.0,0.02,1.33,0.095,0.395,0.09,0.48,Mixto,5,Skarn,47.93,13.63,3,Skarn,HY-MV015,0.0
74,75,PO-11-082,15.0,22.0,205769.5,8401230.0,5486.01499999999,7.0,1.113,0.042,27.2,0.86,0.151,0.309,1.02,700.0000000000001,8.42,19.89,0.39,2.0,0.02,1.6,0.121,0.278,0.11,0.36,Mixto,5,Skarn,104.28,19.33,3,Skarn,HY-MV016,0.0
75,76,PO-11-091,21.4,24.5,205795.37,8401321.9,5513.83699999999,3.1,0.729,0.006,3.2,0.155,0.01,0.043,1.52,140.0,4.33,34.4,0.08,1.0,0.05,25.2,0.016,0.059,0.02,0.1,Hipógeno,5,Skarn,34.34,13.51,3,Skarn,HY-MV017,1.0
76,77,PO-11-095,46.7,50.0,205821.24,8401413.8,5541.65899999999,3.3,0.273,0.001,4.2,0.207,0.022,0.053,3.31,30.0,15.0,14.04,0.82,2.0,0.11,0.94,0.006,0.022,0.02,0.1,Hipógeno,5,Skarn,37.63,13.53,3,Skarn,HY-MV018,0.0
77,78,PO-11-052,87.0,90.6,205847.11,8401505.7,5569.48099999999,3.6,0.257,0.004,0.5,0.104,0.004,0.014,4.26,30.0,12.12,14.81,1.39,2.0,0.88,0.39,0.006,0.011,0.02,0.07,Hipógeno,5,Skarn,81.47,15.01,3,Skarn,HY-MV019,0.0
78,79,PO-11-087,117.0,120.0,205872.98,8401597.6,5597.30299999999,3.0,0.257,0.002,4.8,0.149,0.014,0.052,2.62,30.0,6.68,34.87,0.76,2.0,0.21,1.24,0.01,0.029,0.04,0.15,Hipógeno,5,Skarn,64.59,12.2,3,Skarn,HY-MV020,0.0
79,80,PO-11-086,199.0,202.4,205898.85,8401689.5,5625.12499999999,3.4,0.424,0.001,10.9,0.094,0.511,0.372,2.35,30.0,13.36,6.945,0.16,2.0,0.02,1.9,0.003,0.028,0.01,0.07,Hipógeno,5,Skarn,102.83,14.44,3,Skarn,HY-MV021,0.0
80,81,PO-11-049,129.0,132.0,205924.72,8401781.4,5652.94699999999,3.0,2.082,0.001,8.3,0.744,0.007,0.19,1.53,30.0,3.14,45.0,0.72,3.0,0.04,3.01,0.079,0.091,0.04,0.08,Hipógeno,5,Skarn,81.73,11.74,3,Skarn,HY-MV022,0.0
81,82,PO-10-026,14.0,16.6,205950.59,8401873.3,5680.76899999999,2.6,1.473,0.001,21.6,0.063,0.019,0.052,2.81,30.0,14.15,15.08,0.35,2.0,0.02,1.61,0.25,0.171,0.17,0.29,Hipógeno,5,Skarn,113.35,16.84,3,Skarn,HY-MV023,0.0
82,83,PO-12-130,75.0,78.0,205976.46,8401965.2,5708.59099999999,3.0,0.211,0.013,0.5,0.073,0.003,0.017,3.73,30.0,7.13,24.55,1.3,5.0,0.77,0.36,0.011,0.019,0.05,0.14,Hipógeno,5,Skarn,182.89,14.83,3,Skarn,HY-MV024,0.0
83,84,PO-11-085,96.8,100.3,206002.33,8402057.1,5736.41299999999,3.5,0.335,0.061,1.6,0.061,0.004,0.014,3.11,30.0,14.91,15.12,0.58,4.0,0.28,0.91,0.011,0.018,0.03,0.09,Hipógeno,5,Skarn,95.71,14.7,3,Skarn,HY-MV025,0.0
84,85,PO-11-086,150.0,154.0,206028.2,8402149.0,5764.23499999999,4.0,1.773,0.002,19.2,0.459,0.007,0.044,1.59,30.0,13.93,20.61,0.05,2.0,0.04,5.15,0.204,1.147,0.12,0.76,Supergeno,5,Skarn,72.63,19.71,3,Skarn,HY-MV026,0.0
85,86,PO-11-094,232.0,236.0,206054.07,8402240.9,5792.05699999999,4.0,0.209,0.001,4.9,0.089,0.028,0.048,1.35,50.0,15.0,7.464,0.22,1.0,0.08,1.06,0.003,0.014,0.01,0.08,Hipógeno,1,Limestone,58.58,14.62,3,Skarn,HY-MV027,1.0
86,87,PO-11-101,198.0,201.0,206079.94,8402332.8,5819.87899999999,3.0,0.85,0.001,4.2,0.247,0.003,0.084,3.0,30.0,10.01,22.01,1.03,5.0,0.18,0.68,0.074,0.227,0.09,0.35,Mixto,5,Skarn,89.38,11.11,3,Skarn,HY-MV028,0.0
87,88,PO-12-122,174.7,177.0,206105.81,8402424.7,5847.70099999999,2.3,0.716,0.001,20.9,0.102,0.056,0.652,0.89,30.0,9.71,30.84,0.04,1.0,0.03,2.69,0.008,0.042,0.01,0.07,Hipógeno,5,Skarn,119.28,15.24,3,Skarn,HY-MV029,0.0
88,89,PO-12-112,160.4,164.4,206131.68,8402516.6,5875.52299999999,4.0,0.431,0.001,4.8,0.135,0.007,0.078,2.01,30.0,12.6,21.89,0.51,3.0,0.03,0.78,0.007,0.012,0.02,0.04,Hipógeno,5,Skarn,57.84,14.79,3,Skarn,HY-MV030,0.0
89,90,PO-12-134,180.0,183.2,206157.55,8402608.5,5903.34499999999,3.2,0.626,0.037,1.9,0.216,0.02,0.102,3.25,30.0,3.31,34.27,1.51,2.0,0.17,0.81,0.015,0.035,0.02,0.08,Hipógeno,5,Skarn,55.25,11.35,3,Skarn,HY-MV031,0.0
90,91,PO-10-031,150.0,152.0,206183.42,8402700.4,5931.16699999999,2.0,0.247,0.007,3.1,0.106,0.044,0.175,1.66,50.0,5.14,36.82,0.47,3.0,0.03,3.18,0.01,0.033,0.04,0.17,Hipógeno,5,Skarn,77.24,13.6,3,Skarn,HY-MV032,0.0
91,92,PO-11-087,135.0,139.2,206209.29,8402792.3,5958.98899999999,4.2,0.375,0.009,2.7,0.143,0.02,0.073,1.18,50.0,15.0,12.62,0.48,3.0,0.04,1.45,0.006,0.024,0.02,0.08,Hipógeno,5,Skarn,55.13,14.89,3,Skarn,HY-MV033,0.0
92,93,PO-11-084,153.0,158.0,206235.16,8402884.2,5986.81099999999,5.0,0.18,0.023,0.9,0.048,0.02,0.044,5.44,70.0,10.15,5.03,2.06,3.0,0.49,0.27,0.005,0.015,0.03,0.11,Hipógeno,4,Endoskarn,82.68,16.96,3,Skarn,HY-MV034,0.0
93,94,PO-10-021,104.0,110.0,206261.03,8402976.1,6014.63299999999,6.0,0.252,0.002,1.2,0.075,0.004,0.141,3.9,120.0,15.0,9.91,0.37,2.0,0.16,0.61,0.007,0.008,0.03,0.06,Hipógeno,5,Skarn,18.18,13.36,3,Skarn,HZN-MV001,1.0
94,95,PO-10-041,131.0,133.8,206286.9,8403068.0,6042.45499999999,2.8,0.11,0.002,2.5,0.105,0.004,0.023,3.88,100.0,14.25,9.456,1.1,3.0,0.39,2.47,0.013,0.031,0.12,0.4,Mixto,5,Skarn,118.41,18.1,3,Skarn,HZN-MV002,0.0
95,96,PO-11-076,84.0,90.0,206312.77,8403159.9,6070.27699999999,6.0,0.36,0.008,15.8,1.241,0.252,0.572,2.07,150.0,9.28,7.004,1.02,2.0,0.04,1.44,0.004,0.032,0.01,0.1,Hipógeno,5,Skarn,72.4,16.01,3,Skarn,HZN-MV003,0.0
96,97,PO-11-094,90.0,92.5,206338.64,8403251.8,6098.09899999999,2.5,0.128,0.001,0.5,0.323,0.015,0.036,2.38,40.0,7.86,29.42,0.78,1.0,0.29,0.22,0.03,0.071,0.23,0.79,Supergeno,5,Skarn,131.63,7.98,3,Skarn,HZN-MV004,0.0
97,98,PO-11-052,165.0,168.0,206364.51,8403343.7,6125.92099999999,3.0,0.201,0.001,6.9,0.088,0.04,0.668,1.76,210.0,15.0,7.437,0.79,4.0,0.02,0.98,0.003,0.017,0.01,0.1,Hipógeno,1,Limestone,54.8,14.61,2,Limestone,HZN-MV005,0.0
98,99,PO-11-085,139.1,141.7,206390.38,8403435.6,6153.74299999999,2.6,0.543,0.001,3.4,0.123,0.024,0.171,1.57,30.0,8.37,36.73,0.35,2.0,0.04,0.81,0.007,0.031,0.01,0.07,Hipógeno,5,Skarn,48.41,13.82,3,Skarn,HZN-MV006,0.0
99,100,PO-10-019,186.0,191.7,206416.25,8403527.5,6181.56499999999,5.7,0.66,0.003,7.9,0.635,0.048,0.121,2.69,110.0,5.25,29.2,1.13,2.0,0.19,1.12,0.048,0.126,0.07,0.26,Hipógeno,5,Skarn,93.99,15.87,3,Skarn,HZN-MV007,0.0
100,101,PO-09-009,83.5,94.0,206442.12,8403619.4,6209.38699999999,10.5,1.26,0.003,18.9,0.474,0.035,0.112,1.22,95.0,8.99,32.71,0.25,1.62,0.06,2.4,0.031,0.025,0.02,0.04,Hipógeno,5,Skarn,117.223,17.217,3,Skarn,1049172,
101,102,PO-09-012,150.0,165.0,206467.99,8403711.3,6237.20899999999,15.0,0.347,0.009,8.7,0.604,0.421,0.837,2.13,129.1,8.66,20.46,0.69,3.04,0.15,3.76,0.006,0.011,0.02,0.05,Hipógeno,5,Skarn,116.711,18.83,3,Skarn,1049173,
102,103,PO-11-078,59.9,70.2,206493.86,8403803.2,6265.03099999999,10.3,0.121,0.001,0.9,0.034,0.003,0.038,3.11,71.9,10.48,10.26,0.66,4.84,0.19,2.84,0.009,0.007,0.07,0.13,Hipógeno,5,Skarn,124.307,18.78,3,Skarn,1049174,
103,104,PO-10-015,105.0,116.0,206519.73,8403895.1,6292.85299999999,11.0,0.542,0.026,4.8,0.875,0.009,1.27,2.9,61.4,9.48,25.06,0.83,3.14,0.05,1.26,0.022,0.037,0.04,0.11,Hipógeno,5,Skarn,52.572,10.151,3,Skarn,1049175,
104,105,PO-09-012,34.0,45.0,206545.6,8403987.0,6320.67499999999,11.0,1.333,0.069,9.0,0.44,0.004,0.028,3.18,68.0,9.05,22.21,0.35,1.69,0.06,4.41,0.049,0.036,0.04,0.06,Hipógeno,5,Skarn,112.028,17.395,3,Skarn,1049176,
105,106,PO-09-012,75.0,90.0,206571.47,8404078.9,6348.49699999999,15.0,0.182,0.001,2.7,0.032,0.01,0.046,1.02,90.8,26.63,8.52,0.15,4.04,0.01,0.67,0.003,0.001,0.02,0.02,Hipógeno,5,Skarn,93.357,17.623,3,Skarn,1049177,
106,107,PO-09-012,165.0,180.0,206597.34,8404170.8,6376.31899999999,15.0,0.312,0.042,4.9,0.208,0.344,0.624,4.53,95.8,8.49,10.08,1.17,4.74,0.76,1.96,0.005,0.011,0.02,0.05,Hipógeno,5,Skarn,157.439,21.053,3,Skarn,1049178,
107,108,PO-09-013,90.0,105.0,206623.21,8404262.7,6404.14099999999,15.0,1.088,0.001,7.6,0.244,0.012,0.461,1.23,83.5,8.74,38.43,0.17,1.86,0.02,1.96,0.034,0.037,0.03,0.07,Hipógeno,5,Skarn,69.154,12.275,3,Skarn,1049179,
108,109,PO-10-015,75.0,90.0,206649.08,8404354.6,6431.96299999999,15.0,0.165,0.007,1.7,1.23,0.028,0.095,3.85,51.4,7.34,25.44,1.37,3.29,0.19,0.38,0.011,0.01,0.07,0.13,Hipógeno,5,Skarn,94.838,15.423,3,Skarn,1049180,
109,110,PO-10-017,56.0,71.0,206674.95,8404446.5,6459.78499999999,15.0,0.085,0.002,1.1,0.062,0.01,0.028,5.94,63.5,15.16,8.61,1.68,1.85,0.29,0.1,0.009,0.007,0.11,0.19,Hipógeno,5,Skarn,86.26,17.245,3,Skarn,1049181,
110,111,PO-10-017,146.0,161.0,206700.82,8404538.4,6487.60699999999,15.0,0.819,0.001,6.2,0.445,0.016,0.097,3.16,179.0,8.78,27.0,0.77,1.27,0.1,0.73,0.078,0.109,0.1,0.23,Hipógeno,5,Skarn,62.19,14.757,3,Skarn,1049182,
111,112,PO-10-019,94.0,106.0,206726.69,8404630.3,6515.42899999999,12.0,0.242,0.017,2.4,0.156,0.028,0.099,4.29,83.0,6.1,23.61,0.9,1.82,0.75,0.73,0.009,0.011,0.04,0.08,Hipógeno,5,Skarn,111.577,18.295,3,Skarn,1049183,
112,113,PO-10-019,139.0,154.0,206752.56,8404722.2,6543.25099999999,15.0,0.81,0.051,5.3,0.244,0.014,0.068,3.27,65.1,7.6,21.87,1.16,2.51,0.45,1.04,0.019,0.015,0.02,0.04,Hipógeno,5,Skarn,110.663,18.441,3,Skarn,1049184,
113,114,PO-10-020,90.0,105.4,206778.43,8404814.1,6571.07299999999,15.4,1.311,0.027,3.4,0.403,0.007,0.052,1.37,92.3,7.47,26.94,0.45,2.54,0.04,1.26,0.092,0.133,0.07,0.17,Hipógeno,5,Skarn,105.335,17.687,3,Skarn,1049185,
114,115,PO-10-031,152.0,165.0,206804.3,8404906.0,6598.89499999999,13.0,0.109,0.001,1.7,0.04,0.013,0.038,2.33,65.6,5.19,32.82,0.78,3.4,0.11,2.35,0.006,0.004,0.06,0.09,Hipógeno,5,Skarn,73.532,14.45,3,Skarn,1049186,
115,116,PO-10-034,56.8,71.8,206830.17,8404997.9,6626.71699999999,15.0,0.919,0.037,4.3,0.466,0.006,0.052,2.21,95.1,4.91,31.88,0.41,3.59,0.63,1.32,0.026,0.024,0.03,0.05,Hipógeno,5,Skarn,78.755,12.992,3,Skarn,1049187,
116,117,PO-10-037,30.0,47.5,206856.04,8405089.8,6654.53899999999,17.5,0.129,0.005,1.3,0.053,0.005,0.115,2.92,79.8,17.77,14.13,0.52,2.74,0.33,1.03,0.011,0.007,0.09,0.14,Hipógeno,5,Skarn,77.547,14.558,3,Skarn,1049188,
117,118,PO-11-052,102.6,117.6,206881.91,8405181.7,6682.36099999999,15.0,1.13,0.005,1.6,0.289,0.0005,0.034,3.42,50.9,5.75,29.12,1.39,4.12,0.26,0.89,0.178,0.187,0.16,0.32,Mixto,5,Skarn,51.63,12.604,3,Skarn,1049189,
118,119,PO-11-052,117.6,132.6,206907.78,8405273.6,6710.18299999999,15.0,0.255,0.005,1.0,0.114,0.002,0.025,4.57,47.7,18.17,7.08,0.79,3.04,0.38,0.43,0.013,0.008,0.05,0.08,Hipógeno,5,Skarn,53.571,15.374,3,Skarn,1049190,
119,120,PO-11-052,132.6,147.6,206933.65,8405365.5,6738.00499999999,15.0,0.25,0.001,2.5,0.096,0.004,0.149,4.32,69.0,22.65,7.06,0.73,1.85,0.04,0.56,0.009,0.006,0.04,0.06,Hipógeno,5,Skarn,17.601,12.455,3,Skarn,1049191,
120,121,PO-11-059,89.6,104.6,206959.52,8405457.4,6765.82699999999,15.0,0.652,0.022,5.6,0.273,0.017,0.08,5.77,436.9,9.17,9.07,1.85,2.23,0.08,0.82,0.03,0.026,0.05,0.09,Hipógeno,5,Skarn,41.694,13.142,3,Skarn,1049192,
121,122,PO-11-059,186.8,201.8,206985.39,8405549.3,6793.64899999999,15.0,0.445,0.006,3.2,0.134,0.008,0.1,1.95,55.1,9.63,26.0,0.5,3.3,0.09,0.67,0.024,0.034,0.05,0.13,Hipógeno,5,Skarn,108.241,16.049,3,Skarn,1049193,
122,123,PO-11-088,64.5,79.5,207011.26,8405641.2,6821.47099999999,15.0,0.086,0.001,0.25,0.057,0.002,0.049,5.3,38.9,22.75,6.92,0.41,2.39,0.08,0.03,0.057,0.002,0.66,0.69,Mixto,5,Skarn,13.384,14.942,3,Skarn,1049194,
123,124,PO-11-088,174.5,189.5,207037.13,8405733.1,6849.29299999999,15.0,0.327,0.021,5.5,0.137,0.051,0.096,2.97,76.8,11.73,17.87,0.65,2.84,0.12,1.42,0.009,0.008,0.03,0.05,Hipógeno,5,Skarn,103.089,18.919,3,Skarn,1049195,
124,125,PO-10-016,156.9,171.9,207063.0,8405825.0,6877.11499999999,15.0,0.171,0.019,0.6,0.062,0.005,0.017,5.22,32.1,10.4,4.92,2.11,3.98,0.98,0.54,0.007,0.004,0.04,0.06,Hipógeno,5,Skarn,124.966,20.23,3,Skarn,1049196,
125,126,PO-10-031,90.0,105.0,207088.87,8405916.9,6904.93699999998,15.0,1.308,0.001,5.9,0.515,0.004,0.036,1.93,78.2,4.61,39.33,0.54,1.52,0.03,1.35,0.094,0.11,0.07,0.16,Hipógeno,5,Skarn,93.043,14.498,3,Skarn,1049197,
126,127,PO-10-035,45.0,60.0,207114.74,8406008.8,6932.75899999998,15.0,1.078,0.013,1.9,0.378,0.011,0.041,3.67,68.1,5.93,25.46,1.13,1.74,0.4,1.47,0.188,0.039,0.17,0.21,Hipógeno,5,Skarn,76.271,15.626,3,Skarn,1049198,
127,128,PO-10-044,116.2,130.5,207140.61,8406100.7,6960.58099999998,14.3,0.157,0.013,1.0,0.056,0.029,0.031,2.93,29.4,14.65,4.43,0.74,5.32,0.09,0.73,0.004,0.004,0.03,0.05,Hipógeno,5,Skarn,85.857,17.778,3,Skarn,1049199,
128,129,PO-11-072,225.0,240.0,207166.48,8406192.6,6988.40299999998,15.0,0.987,0.001,11.6,0.269,0.006,0.032,2.79,73.8,10.89,22.34,0.2,1.96,0.02,2.63,0.079,0.098,0.08,0.18,Hipógeno,5,Skarn,127.33,18.985,3,Skarn,1049200,
129,130,PO-12-132,149.0,164.0,207192.35,8406284.5,7016.22499999998,15.0,1.246,0.052,4.5,0.48,0.003,0.033,1.13,67.0,4.05,40.0,0.28,1.95,0.005,1.31,0.09,0.121,0.07,0.17,Hipógeno,5,Skarn,71.063,12.965,3,Skarn,1049201,
130,131,PO-12-134,33.2,46.0,207218.22,8406376.4,7044.04699999998,12.8,0.035,0.002,0.25,0.045,0.0005,0.013,5.32,50.5,4.98,24.05,1.25,2.99,1.08,0.05,0.005,0.003,0.14,0.23,Hipógeno,5,Skarn,146.828,18.484,3,Skarn,1049202,
131,132,PO-12-134,63.2,78.2,207244.09,8406468.3,7071.86899999998,15.0,0.091,0.01,0.25,0.074,0.0005,0.011,3.04,47.3,4.36,34.4,0.63,2.98,0.43,0.17,0.013,0.018,0.14,0.34,Mixto,5,Skarn,99.128,14.211,3,Skarn,1049203,
132,133,PO-10-026,27.4,42.1,207269.96,8406560.2,7099.69099999998,14.7,0.834,0.053,16.7,0.296,0.092,0.168,3.32,100.9,8.87,23.73,0.64,1.46,0.19,3.51,0.058,0.036,0.07,0.11,Hipógeno,5,Skarn,71.854,15.794,3,Skarn,1049204,
133,134,PO-11-064,159.9,171.8,207295.83,8406652.1,7127.51299999998,11.9,0.193,0.003,0.6,0.086,0.0005,0.015,1.1,47.2,1.85,40.0,0.62,2.06,0.07,0.23,0.027,0.042,0.14,0.36,Mixto,5,Skarn,64.932,12.748,3,Skarn,1049205,
134,135,PO-11-084,122.4,137.4,207321.7,8406744.0,7155.33499999998,15.0,1.328,0.124,3.6,0.287,0.005,0.088,2.29,75.8,6.16,24.91,0.82,4.17,0.33,0.21,0.035,0.039,0.03,0.06,Hipógeno,5,Skarn,96.219,16.361,3,Skarn,1049206,
135,136,PO-11-101,177.0,187.0,207347.57,8406835.9,7183.15699999998,10.0,1.124,0.001,3.7,0.785,0.0005,0.022,3.3,54.4,7.16,24.7,1.26,3.47,0.27,2.09,0.207,0.404,0.18,0.54,Mixto,5,Skarn,61.701,12.11,3,Skarn,1049207,
136,137,PO-11-056,212.0,227.0,207373.44,8406927.8,7210.97899999998,15.0,0.692,0.001,2.1,0.224,0.043,0.084,4.05,48.1,6.2,22.45,1.49,2.79,0.6,0.72,0.063,0.094,0.09,0.23,Hipógeno,5,Skarn,71.577,17.245,3,Skarn,1049208,
137,138,PO-11-062,15.0,30.0,207399.31,8407019.7,7238.80099999998,15.0,0.292,0.019,0.6,0.11,0.001,0.01,2.75,30.6,9.97,9.76,0.94,3.97,0.36,0.73,0.056,0.013,0.19,0.24,Hipógeno,5,Skarn,91.916,14.556,3,Skarn,1049209,
138,139,PO-11-076,199.7,214.7,207425.18,8407111.6,7266.62299999998,15.0,1.167,0.001,7.3,0.705,0.002,0.023,2.72,61.3,8.22,24.17,1.23,2.83,0.28,0.64,0.2,0.432,0.17,0.54,Mixto,5,Skarn,79.625,17.347,3,Skarn,1049210,
139,140,PO-11-077,75.2,90.2,207451.05,8407203.5,7294.44499999998,15.0,0.391,0.002,3.2,0.078,0.027,0.231,1.49,59.2,14.45,25.93,0.39,2.31,0.005,0.76,0.007,0.006,0.02,0.03,Hipógeno,5,Skarn,68.645,13.628,3,Skarn,1049211,
140,141,PO-11-077,90.2,105.2,207476.92,8407295.4,7322.26699999998,15.0,0.502,0.001,3.2,0.349,0.189,0.943,1.97,55.8,9.64,24.47,0.47,3.53,0.03,1.2,0.009,0.012,0.02,0.04,Hipógeno,5,Skarn,108.936,15.916,3,Skarn,1049212,
141,142,PO-11-080,45.0,63.1,207502.79,8407387.3,7350.08899999998,18.1,1.258,0.014,14.5,1.132,0.064,0.181,1.59,117.8,13.54,12.57,0.45,2.15,0.02,2.2,0.026,0.016,0.02,0.03,Hipógeno,5,Skarn,68.888,17.076,3,Skarn,1049213,
142,143,PO-11-084,92.4,107.4,207528.66,8407479.2,7377.91099999998,15.0,0.347,0.045,9.4,0.207,0.138,0.234,6.02,60.0,8.84,7.37,2.1,1.23,0.31,1.01,0.005,0.005,0.01,0.03,Hipógeno,5,Skarn,87.885,17.288,3,Skarn,1049214,
143,144,PO-11-087,154.2,169.2,207554.53,8407571.1,7405.73299999998,15.0,0.19,0.004,2.0,0.383,0.014,0.165,4.3,37.1,15.41,12.28,0.66,2.75,0.28,0.82,0.003,0.003,0.02,0.03,Hipógeno,5,Skarn,30.606,15.493,3,Skarn,1049215,
144,145,PO-11-087,169.2,184.2,207580.4,8407663.0,7433.55499999998,15.0,0.126,0.001,1.3,0.075,0.003,0.076,4.12,39.7,21.23,7.79,0.48,2.03,0.11,0.53,0.003,0.003,0.02,0.05,Hipógeno,5,Skarn,25.584,14.414,3,Skarn,1049216,
145,146,PO-11-094,194.0,209.0,207606.27,8407754.9,7461.37699999998,15.0,0.9,0.001,6.7,0.222,0.003,0.03,3.6,41.8,17.17,16.01,0.41,2.56,0.07,0.77,0.072,0.215,0.08,0.32,Mixto,5,Skarn,69.231,14.197,3,Skarn,1049217,
146,147,PO-11-094,209.0,224.0,207632.14,8407846.8,7489.19899999998,15.0,1.003,0.001,14.2,0.404,0.037,0.123,3.65,45.5,12.53,14.79,0.81,2.98,0.1,1.31,0.065,0.086,0.06,0.15,Hipógeno,5,Skarn,95.877,15.523,3,Skarn,1049218,
147,148,PO-12-122,150.0,165.0,207658.01,8407938.7,7517.02099999998,15.0,0.975,0.001,10.3,0.207,0.006,0.344,2.58,47.7,18.0,21.01,0.26,1.64,0.005,1.89,0.015,0.012,0.02,0.03,Hipógeno,5,Skarn,100.108,14.918,3,Skarn,1049219,
148,149,PO-12-122,195.0,210.0,207683.88,8408030.6,7544.84299999998,15.0,0.416,0.001,5.9,0.228,0.033,0.095,4.93,45.2,14.58,11.06,0.57,2.42,0.09,0.82,0.017,0.028,0.04,0.11,Hipógeno,5,Skarn,113.584,19.522,3,Skarn,1049220,
149,150,PO-12-122,210.0,225.0,207709.75,8408122.5,7572.66499999998,15.0,0.411,0.002,7.3,0.105,0.021,0.213,4.23,38.9,18.94,6.4,0.51,1.83,0.005,1.15,0.008,0.009,0.02,0.04,Hipógeno,5,Skarn,106.779,17.064,3,Skarn,1049221,
150,151,PO-09-006,105.0,120.0,207735.62,8408214.4,7600.48699999998,15.0,0.53,0.001,2.4,0.155,0.001,0.026,3.88,35.3,7.2,20.51,1.42,4.61,0.06,0.49,0.03,0.079,0.06,0.21,Hipógeno,5,Skarn,126.957,18.885,3,Skarn,1049490,
151,152,PO-09-012,90.0,105.0,207761.49,8408306.3,7628.30899999998,15.0,0.331,0.001,5.0,0.056,0.016,0.637,0.93,57.0,22.69,15.76,0.23,2.41,0.02,1.53,0.004,0.009,0.01,0.04,Hipógeno,5,Skarn,75.116,13.764,3,Skarn,1049491,
152,153,PO-09-012,135.0,150.0,207787.36,8408398.2,7656.13099999998,15.0,1.35,0.003,2.2,0.226,0.005,0.065,3.04,33.2,7.59,27.43,1.46,3.72,0.09,1.31,0.032,0.07,0.02,0.08,Hipógeno,5,Skarn,73.027,15.065,3,Skarn,1049492,
153,154,PO-09-013,15.0,30.0,207813.23,8408490.1,7683.95299999998,15.0,0.264,0.002,2.4,0.26,0.006,0.023,1.82,55.0,6.69,26.97,0.61,3.18,0.04,0.07,0.184,0.005,0.7,0.72,Supergeno,5,Skarn,22.295,10.121,3,Skarn,1049493,
154,155,PO-09-013,30.0,45.0,207839.1,8408582.0,7711.77499999998,15.0,0.891,0.005,3.2,0.344,0.023,0.069,1.37,49.4,5.48,31.5,0.64,1.95,0.03,0.95,0.125,0.087,0.14,0.24,Hipógeno,5,Skarn,27.546,11.745,3,Skarn,1049494,
155,156,PO-10-040,75.0,97.2,207864.97,8408673.9,7739.59699999998,22.2,0.492,0.029,3.7,0.366,0.059,0.162,3.49,54.6,6.32,20.94,0.97,2.66,0.51,1.5,0.011,0.018,0.02,0.06,Hipógeno,5,Skarn,124.537,18.013,3,Skarn,1049495,
156,157,PO-10-041,217.1,232.1,207890.84,8408765.8,7767.41899999998,15.0,0.453,0.001,4.3,0.689,0.003,0.025,2.15,46.8,10.58,23.6,0.61,1.74,0.09,0.6,0.081,0.193,0.18,0.6,Mixto,5,Skarn,83.811,16.478,3,Skarn,1049497,
157,158,PO-10-042,45.0,60.0,207916.71,8408857.7,7795.24099999998,15.0,0.795,0.07,6.4,0.799,0.039,0.101,2.77,56.9,7.82,25.31,1.37,2.25,0.08,1.54,0.017,0.024,0.02,0.05,Hipógeno,5,Skarn,72.865,16.513,3,Skarn,1049498,
